Title,URL,TextFile,Status,Reason
(PDF) United Nations Environment Program (UNEP),https://www.researchgate.net/publication/363258265_United_Nations_Environment_Program_UNEP,www_researchgate_net__PDF_United_Nations_Environment_Program_UNEP_.txt,failed,[BLOCKED_403] https://www.researchgate.net/publication/363258265_United_Nations_Environment_Program_UNEP
Kenya's Green Leadership: Shaping Africa's Climate Future,https://www.csis.org/analysis/kenyas-green-leadership-shaping-africas-climate-future,www_csis_org_Kenya_s_Green_Leadership_Shaping_Africa_s_Climate_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='csis-website-prod.s3.amazonaws.com', port=443): Max retries exceeded with url: /s3fs-public/2025-02/250221_Abuya_Kenya_Green.pdf?VersionId=6EIEedXrW3ok3qdrMLrpbsAs8j1WLz7z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E226269FD0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection fail"
Plastic Pollution Policy Country Profile: Kenya,https://nicholasinstitute.duke.edu/sites/default/files/projects/Plastic-Pollution-Policy-Country-Profile-Kenya.pdf,nicholasinstitute_duke_edu_Plastic_Pollution_Policy_Country_Profile_Kenya.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='nicholasinstitute.duke.edu', port=443): Max retries exceeded with url: /sites/default/files/projects/Plastic-Pollution-Policy-Country-Profile-Kenya.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E244435310>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected"
Green economy / Kenya,https://dicf.unepgrid.ch/kenya/green-economy,dicf_unepgrid_ch_Green_economy_Kenya.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='dicf.unepgrid.ch', port=443): Max retries exceeded with url: /kenya/green-economy (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E2012506A0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
AN ASSESSMENT OF THE STATUS OF BLUE ECONOMY ...,https://www.nairobiconvention.org/clearinghouse/sites/default/files/Synthesis%20Report%20Popular%20Version%2013062023.pdf,www_nairobiconvention_org_AN_ASSESSMENT_OF_THE_STATUS_OF_BLUE_ECONOMY_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.nairobiconvention.org', port=443): Max retries exceeded with url: /clearinghouse/sites/default/files/Synthesis%20Report%20Popular%20Version%2013062023.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E277E90730>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because co"
Summary report 2–5 December 2025,https://enb.iisd.org/barcelona-convention-cop24-summary,enb_iisd_org_Summary_report_2_5_December_2025.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='enb.iisd.org', port=443): Max retries exceeded with url: /barcelona-convention-cop24-summary (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E2049509D0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
"Departmental Sustainable Development Strategy, 2023 to ...",https://www.canada.ca/en/environment-climate-change/corporate/transparency/priorities-management/departmental-sustainable-development-strategy/2023-2027.html,www_canada_ca_Departmental_Sustainable_Development_Strategy_2023.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Summary report 19 February – 1 March 2024,https://enb.iisd.org/unea6-oecpr6-summary,enb_iisd_org_Summary_report_19_February_1_March_2024.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='enb.iisd.org', port=443): Max retries exceeded with url: /unea6-oecpr6-summary (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E2202E2F40>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
"UNEP, annual report, 2022",https://www.unep.org/annualreport/2022,www_unep_org_UNEP_annual_report_2022.txt,failed,[BLOCKED_403] https://www.unep.org/annualreport/2022
REPORT: - Green Circular Economy at the ...,https://ufmsecretariat.org/wp-content/uploads/2024/05/%E2%9C%85-Report-on-Green-Circular-Economy_EN.pdf,ufmsecretariat_org_REPORT_Green_Circular_Economy_at_the_.txt,failed,"[FETCH ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
